,feature,fscore
0,na_count,0.000566244872017
1,v75,0.00100537354828
2,v3,0.00113248974403
3,v23,0.00183740682961
4,v74,0.00199919107875
5,v64,0.00235742763044
6,v76,0.00272722019992
7,v110,0.00288900444907
8,v106,0.00313168082279
9,v48,0.00316634887618
10,v38,0.00317790489397
11,v105,0.00321257294736
12,v17,0.00324724100075
13,v71,0.00325879701855
14,v62,0.00333968914312
15,v31,0.00351302941007
16,v95,0.00380192985497
17,v25,0.00380192985497
18,v128,0.00388282197955
19,v96,0.00409083029988
20,v8,0.00411394233547
21,v109,0.00412549835327
22,v63,0.00416016640666
23,v81,0.00422950251343
24,v41,0.00427572658462
25,v83,0.0043450626914
26,v129,0.00436817472699
27,v89,0.00457618304732
28,v29,0.00461085110071
29,v46,0.00477263534986
30,v92,0.00479574738545
31,v117,0.00481885942104
32,v121,0.00486508349223
33,v43,0.00491130756341
34,v67,0.00492286358121
35,v33,0.00496908765239
36,v108,0.00501531172358
37,v65,0.00508464783036
38,v84,0.00511931588375
39,v60,0.00515398393714
40,v72,0.0052579880973
41,v116,0.00529265615069
42,v54,0.00536199225747
43,v124,0.00539666031086
44,v93,0.00550066447102
45,v26,0.00559311261339
46,v130,0.00562778066678
47,v37,0.00576645288034
48,v13,0.00581267695152
49,v7,0.0058704570405
50,v107,0.00592823712949
51,v77,0.00593979314728
52,v51,0.00599757323626
53,v32,0.00602068527186
54,v87,0.00605535332524
55,v104,0.00613624544982
56,v11,0.00617091350321
57,v61,0.00617091350321
58,v97,0.0062055815566
59,v111,0.00622869359219
60,v5,0.00624024960998
61,v100,0.00626336164558
62,v58,0.00627491766337
63,v115,0.00634425377015
64,v73,0.00635580978795
65,v4,0.00636736580574
66,v55,0.00640203385913
67,v49,0.00641358987693
68,v101,0.00642514589472
69,v36,0.00663315421506
70,v19,0.00671404633963
71,v15,0.00676027041082
72,v44,0.00676027041082
73,v20,0.00684116253539
74,v39,0.00686427457098
75,v119,0.00687583058878
76,v94,0.00687583058878
77,v28,0.00694516669556
78,v80,0.00696827873115
79,v123,0.00702605882013
80,v118,0.00707228289132
81,v131,0.00707228289132
82,v59,0.0071069509447
83,v98,0.0071300629803
84,v82,0.00729184722944
85,v30,0.00729184722944
86,v86,0.00731495926504
87,v70,0.00734962731843
88,v103,0.00740740740741
89,v27,0.007430519443
90,v1,0.00749985554978
91,v53,0.00754607962096
92,v2,0.00759230369215
93,v91,0.00765008378113
94,v35,0.00784653608367
95,v18,0.00786964811926
96,v42,0.00788120413705
97,v16,0.00798520829722
98,v122,0.008054544404
99,v126,0.00815854856416
100,v78,0.00821632865315
101,v45,0.00821632865315
102,v9,0.00825099670653
103,v85,0.00844744900907
104,v69,0.00850522909805
105,v102,0.00850522909805
106,v90,0.00860923325822
107,v57,0.00878257352516
108,v68,0.00890968972092
109,v47,0.00912925405905
110,v112,0.00954527069972
111,v88,0.010042179465
112,v127,0.0100999595539
113,v99,0.0102501877853
114,v120,0.0103079678743
115,v6,0.0104813081412
116,v79,0.0105968683192
117,v113,0.0126538394869
118,v125,0.0127693996649
119,v24,0.0139250014445
120,v52,0.0139481134801
121,v10,0.014179233836
122,v14,0.017241578552
123,v56,0.0187900849367
124,v22,0.0192176575952
125,v114,0.0196914543248
126,v66,0.0198301265384
127,v34,0.0202114751257
128,v40,0.0219911018663
129,v21,0.0223955624892
130,v12,0.0235164962154
131,v50,0.0441324319639
