,feature,fscore
0,v3,0.000812784886595
1,na_count,0.00101048931847
2,v75,0.00123016090944
3,v74,0.00174638914822
4,v23,0.00180130704597
5,v71,0.00262507551211
6,v64,0.00264704267121
7,v38,0.00277884562579
8,v76,0.00303146795541
9,v31,0.00321818880773
10,v17,0.00359163051238
11,v62,0.00361359767148
12,v129,0.00361359767148
13,v106,0.00364654841013
14,v48,0.00381130210336
15,v110,0.00385523642155
16,v105,0.00391015431929
17,v63,0.00398703937613
18,v25,0.00404195727388
19,v46,0.00411884233072
20,v81,0.00428359602394
21,v109,0.00439343181943
22,v96,0.00448130045582
23,v128,0.00450326761492
24,v95,0.00453621835356
25,v121,0.00453621835356
26,v8,0.00453621835356
27,v41,0.00454720193311
28,v92,0.00493162721731
29,v60,0.00505244659234
30,v29,0.00505244659234
31,v124,0.00512933164918
32,v108,0.00514031522873
33,v89,0.00537097039925
34,v65,0.0053819539788
35,v83,0.00541490471745
36,v117,0.005425888297
37,v43,0.005425888297
38,v84,0.00548080619474
39,v72,0.00548080619474
40,v67,0.00554670767203
41,v77,0.00559064199022
42,v116,0.00560162556977
43,v130,0.00565654346752
44,v61,0.00566752704706
45,v54,0.00567851062661
46,v93,0.00568949420616
47,v107,0.00577736284255
48,v13,0.00583228074029
49,v26,0.00585424789939
50,v33,0.00587621505849
51,v73,0.00613982096765
52,v51,0.00616178812675
53,v104,0.0061727717063
54,v11,0.00627162392224
55,v55,0.00629359108133
56,v5,0.00629359108133
57,v111,0.00631555824043
58,v7,0.00634850897908
59,v49,0.00635949255862
60,v15,0.00638145971772
61,v36,0.00640342687682
62,v115,0.00642539403592
63,v101,0.00654621341095
64,v58,0.0065571969905
65,v123,0.0065791641496
66,v27,0.00661211488824
67,v98,0.00669998352463
68,v87,0.00672195068373
69,v44,0.00672195068373
70,v19,0.00674391784282
71,v30,0.00676588500192
72,v32,0.00676588500192
73,v4,0.00683178647921
74,v37,0.00684277005876
75,v103,0.00685375363831
76,v119,0.0069196551156
77,v100,0.00697457301335
78,v82,0.00700752375199
79,v70,0.00702949091109
80,v131,0.00702949091109
81,v97,0.00709539238838
82,v86,0.00710637596793
83,v118,0.00717227744522
84,v47,0.00724916250206
85,v39,0.00724916250206
86,v59,0.00729309682025
87,v16,0.0073040803998
88,v94,0.00731506397935
89,v53,0.00736998187709
90,v80,0.00763358778626
91,v122,0.00769948926355
92,v91,0.0077324400022
93,v28,0.00775440716129
94,v45,0.00776539074084
95,v18,0.00778735789994
96,v1,0.00782030863859
97,v35,0.00786424295678
98,v2,0.00789719369543
99,v69,0.00803998022956
100,v9,0.0080729309682
101,v126,0.0081168652864
102,v102,0.00818276676369
103,v78,0.00820473392279
104,v90,0.00824866824098
105,v85,0.00829260255917
106,v20,0.00831456971827
107,v127,0.00868801142292
108,v42,0.00887473227525
109,v57,0.00889669943435
110,v120,0.00918227250261
111,v68,0.00919325608216
112,v99,0.00940194409358
113,v88,0.00962161568455
114,v112,0.00967653358229
115,v79,0.0105442363666
116,v6,0.0109835795486
117,v125,0.0115107913669
118,v113,0.0121258718216
119,v52,0.0132901312538
120,v24,0.0138942281289
121,v10,0.0148388159701
122,v66,0.0166730737547
123,v14,0.0168268438684
124,v56,0.018199791312
125,v22,0.0182986435279
126,v34,0.0207479817673
127,v114,0.0213081443242
128,v21,0.0220550277335
129,v40,0.0225822395519
130,v12,0.0239442034159
131,v50,0.0393212147839
