,feature,fscore
0,v3,0.00029807951626
1,v75,0.000525187719124
2,v110,0.000624547557877
3,v74,0.000667130345914
4,na_count,0.000809072972704
5,v38,0.00110715248896
6,v31,0.00134845495451
7,v64,0.00167492299612
8,v76,0.00180267136024
9,v23,0.00194461398703
10,v106,0.00204397382578
11,v17,0.00273949269705
12,v129,0.00281046401045
13,v63,0.00305176647599
14,v128,0.00308015500135
15,v96,0.00315112631474
16,v48,0.00319370910278
17,v105,0.00330726320421
18,v46,0.00339242878029
19,v81,0.00349178861904
20,v67,0.00350598288172
21,v95,0.00364792550851
22,v29,0.00364792550851
23,v83,0.00376147960994
24,v25,0.00380406239798
25,v8,0.00384664518602
26,v41,0.00398858781281
27,v92,0.00410214191424
28,v121,0.00417311322763
29,v33,0.00438602716782
30,v100,0.0044002214305
31,v65,0.00441441569318
32,v43,0.00444280421853
33,v72,0.00447119274389
34,v116,0.00449958126925
35,v54,0.00449958126925
36,v109,0.00452796979461
37,v71,0.00458474684533
38,v89,0.004598941108
39,v62,0.00476927226015
40,v117,0.00479766078551
41,v73,0.00479766078551
42,v130,0.00481185504819
43,v104,0.00482604931087
44,v49,0.00482604931087
45,v93,0.00485443783623
46,v115,0.00495379767498
47,v32,0.00495379767498
48,v108,0.00503896325105
49,v77,0.00503896325105
50,v60,0.00506735177641
51,v47,0.0052092944032
52,v84,0.00529445997928
53,v51,0.00530865424196
54,v61,0.00532284850463
55,v55,0.00532284850463
56,v5,0.00537962555535
57,v87,0.00542220834339
58,v94,0.00545059686875
59,v98,0.00550737391946
60,v26,0.00553576244482
61,v7,0.00560673375821
62,v13,0.00562092802089
63,v59,0.00562092802089
64,v118,0.00563512228357
65,v101,0.00563512228357
66,v124,0.00566351080893
67,v11,0.00576287064768
68,v111,0.00584803622376
69,v4,0.00586223048644
70,v86,0.00590481327447
71,v103,0.00590481327447
72,v97,0.00594739606251
73,v44,0.00597578458787
74,v123,0.00600417311323
75,v27,0.00601836737591
76,v70,0.00614611574002
77,v53,0.0061603100027
78,v37,0.00620289279073
79,v15,0.00621708705341
80,v119,0.00634483541752
81,v58,0.00634483541752
82,v131,0.0063590296802
83,v36,0.00650097230699
84,v19,0.00658613788307
85,v80,0.00681324608593
86,v127,0.00682744034861
87,v122,0.00682744034861
88,v39,0.00685582887397
89,v20,0.00691260592469
90,v2,0.0069693829754
91,v68,0.00701196576344
92,v28,0.00706874281415
93,v35,0.00712551986487
94,v1,0.00729585101702
95,v90,0.00733843380506
96,v42,0.00739521085577
97,v9,0.00752295921988
98,v45,0.00759393053328
99,v18,0.00760812479596
100,v85,0.00763651332132
101,v82,0.0078494272615
102,v102,0.00789201004954
103,v78,0.00803395267633
104,v79,0.00804814693901
105,v16,0.00810492398972
106,v69,0.00814750677776
107,v88,0.00816170104044
108,v126,0.00834622645527
109,v66,0.00865850023421
110,v57,0.00902755106386
111,v120,0.00911271663993
112,v30,0.00912691090261
113,v99,0.00946757320691
114,v6,0.0103334232303
115,v24,0.0111708847284
116,v107,0.0114405757193
117,v113,0.0121077060652
118,v10,0.0144355651446
119,v91,0.0148188102369
120,v112,0.0182112390172
121,v56,0.0192332259301
122,v114,0.0211352571291
123,v125,0.0228385686506
124,v14,0.0234773104711
125,v40,0.0250528736285
126,v52,0.0258903351265
127,v34,0.0286724106116
128,v12,0.0317383713503
129,v22,0.032192587756
130,v21,0.0341372017431
131,v50,0.0416033839122
