,feature,fscore
0,v25_available,4.68465260959e-06
1,v110_pct,7.02697891438e-06
2,v109_available,2.10809367431e-05
3,v3_pct,2.57655893527e-05
4,v74_pct,4.68465260959e-05
5,v31_pct,0.000110089336325
6,v75_pct,0.000114773988935
7,v98_available,0.00011711631524
8,v3,0.000149908883507
9,v107_pct,0.00028342148288
10,v110,0.00039585314551
11,v74,0.000407564777034
12,v75,0.00056684296576
13,v31_pct_v47,0.000613689491856
14,v31,0.000749544417534
15,v38,0.000840895143421
16,v24_pct,0.000922876564088
17,v66_pct,0.000932245869308
18,v71_pct,0.00095801145866
19,na_count,0.000974407742794
20,v23,0.00127891016242
21,v64,0.00143584602484
22,v129,0.00143584602484
23,v47_pct,0.00150377348768
24,v91_pct,0.00173566379185
25,v76,0.00179890660208
26,v31_v129,0.00180359125469
27,v106,0.00196286944342
28,v79_pct,0.00226034488413
29,v48,0.00247583890417
30,v47,0.00278268365009
31,v17,0.00281781854467
32,v72,0.00290916927055
33,v105,0.00292088090208
34,v128,0.00294430416512
35,v46,0.00296070044926
36,v63,0.00301925860688
37,v123_v48,0.0031293479432
38,v96,0.00315277120625
39,v62,0.00316682516408
40,v95,0.0033214187002
41,v29,0.00348303921523
42,v81,0.00359781320416
43,v71,0.00359781320416
44,v8,0.00360249785677
45,v25,0.00365637136178
46,v67,0.00366105601439
47,v41,0.003665740667
48,v121,0.00379222628746
49,v33,0.00389997329748
50,v83,0.00397492773923
51,v130,0.00401474728641
52,v54,0.00409438638078
53,v89,0.0041529445384
54,v93,0.00418105245406
55,v100,0.00419744873819
56,v73,0.00421384502232
57,v116,0.00423258363276
58,v109,0.00426771852733
59,v65,0.00427006085364
60,v92,0.00428177248516
61,v60,0.00429582644299
62,v113,0.00437078088474
63,v43,0.0043988888004
64,v77,0.00443870834758
65,v117,0.00444105067389
66,v51,0.00446447393694
67,v85_v51,0.00450897813673
68,v49,0.00469636424111
69,v26,0.00471041819894
70,v108,0.00471978750416
71,v32,0.00476897635656
72,v123,0.00479942659852
73,v84,0.00481816520896
74,v61,0.00484158847201
75,v104,0.00486735406136
76,v87,0.0048860926718
77,v115,0.00489546197702
78,v101,0.00493996617681
79,v55,0.00496338943986
80,v124,0.00498212805029
81,v5,0.00505708249205
82,v79,0.00506410947096
83,v13,0.00512500995489
84,v7,0.00513672158641
85,v15,0.00515546019685
86,v119,0.00525852255426
87,v30_pct,0.00527023418578
88,v111,0.00531239605927
89,v36,0.0053779811958
90,v59,0.00538735050102
91,v86,0.00539671980624
92,v19,0.00541311609038
93,v94,0.0054224853956
94,v53,0.00543419702712
95,v4,0.00548572820582
96,v118,0.00555834032127
97,v58,0.00558410591063
98,v37,0.00565906035238
99,v97,0.00567545663651
100,v98,0.00567545663651
101,v44,0.00569653757326
102,v11,0.00571761851
103,v70,0.00582770784632
104,v30,0.00584410413046
105,v27,0.00597058975092
106,v20,0.00606896745572
107,v2,0.00619545307618
108,v103,0.0062048223814
109,v113_pct_v119,0.00621419168662
110,v39,0.00631725404403
111,v35,0.00639923546469
112,v85,0.00642968570666
113,v131,0.00646247827492
114,v80,0.00646716292753
115,v18,0.00649292851689
116,v82,0.0064976131695
117,v42,0.0064999554958
118,v122,0.00661472948474
119,v28,0.00667328764235
120,v68,0.00668265694757
121,v1,0.0066967109054
122,v9,0.00678571930498
123,v127,0.00683256583108
124,v45,0.00683256583108
125,v102,0.00685364676782
126,v66,0.00694499749371
127,v90,0.00713941057701
128,v16,0.00725418456594
129,v56_v62,0.00729166178682
130,v78,0.00731508504987
131,v126,0.00733616598661
132,v69,0.00737364320749
133,v88,0.00755400233296
134,v120,0.00797796339412
135,v10_v110,0.00798967502565
136,v57,0.00801778294131
137,v99,0.00836444723442
138,v24,0.0085026444864
139,v107,0.00872048083274
140,v112_pct,0.00893597485278
141,v22_pct,0.00893597485278
142,v6,0.00900390231562
143,v56,0.00920300005153
144,v10,0.0104139827511
145,v113_pct,0.0106341614238
146,v91,0.0111002843584
147,v52_pct,0.0122128893532
148,v34_v47_pct,0.0126040578461
149,v112,0.013295044106
150,v125_pct,0.0137588247144
151,v114,0.0147238631519
152,v34,0.017398799792
153,v56_pct,0.0174901505179
154,v125,0.0178485264425
155,v14,0.0179117692528
156,v40,0.0182420372617
157,v113_v14,0.0186519443651
158,v52,0.0189189695638
159,v72_v114,0.0200948173688
160,v22,0.0255899148799
161,v12,0.0257093735214
162,v21,0.0262246853085
163,v50,0.034881923331
