,feature,fscore
0,na_count,0.000945818132685
1,v75,0.00108093500878
2,v3,0.00121605188488
3,v23,0.00155384407512
4,v74,0.00175651938927
5,v106,0.00222942845561
6,v31,0.00236454533171
7,v76,0.00256722064586
8,v64,0.00263477908391
9,v17,0.00283745439805
10,v105,0.00283745439805
11,v38,0.0029050128361
12,v110,0.0030401297122
13,v48,0.0033103634644
14,v81,0.00358059721659
15,v95,0.00371571409269
16,v41,0.00378327253074
17,v96,0.00385083096879
18,v128,0.00385083096879
19,v130,0.00405350628293
20,v109,0.00412106472098
21,v63,0.00418862315903
22,v83,0.00425618159708
23,v129,0.00432374003513
24,v29,0.00432374003513
25,v67,0.00439129847318
26,v116,0.00445885691123
27,v46,0.00445885691123
28,v25,0.00445885691123
29,v73,0.00459397378733
30,v117,0.00466153222537
31,v84,0.00466153222537
32,v60,0.00466153222537
33,v92,0.00466153222537
34,v115,0.00472909066342
35,v89,0.00472909066342
36,v104,0.00472909066342
37,v33,0.00479664910147
38,v71,0.00506688285367
39,v108,0.00506688285367
40,v43,0.00520199972977
41,v124,0.00526955816782
42,v55,0.00533711660586
43,v32,0.00533711660586
44,v111,0.00540467504391
45,v28,0.00540467504391
46,v93,0.00547223348196
47,v70,0.00547223348196
48,v121,0.00547223348196
49,v7,0.00547223348196
50,v51,0.00553979192001
51,v5,0.00553979192001
52,v72,0.00560735035806
53,v123,0.00560735035806
54,v26,0.00560735035806
55,v8,0.00567490879611
56,v54,0.00574246723416
57,v61,0.00581002567221
58,v37,0.00581002567221
59,v65,0.00587758411026
60,v98,0.0059451425483
61,v13,0.00601270098635
62,v87,0.00601270098635
63,v36,0.00601270098635
64,v131,0.0060802594244
65,v49,0.0062153763005
66,v97,0.00628293473855
67,v86,0.0063504931766
68,v78,0.0063504931766
69,v59,0.0063504931766
70,v39,0.0063504931766
71,v101,0.00641805161465
72,v77,0.00641805161465
73,v119,0.0064856100527
74,v82,0.0064856100527
75,v11,0.00655316849074
76,v44,0.00655316849074
77,v18,0.00668828536684
78,v19,0.00675584380489
79,v94,0.00675584380489
80,v27,0.00675584380489
81,v2,0.00675584380489
82,v62,0.00689096068099
83,v103,0.00702607755709
84,v102,0.00702607755709
85,v100,0.00702607755709
86,v16,0.00709363599514
87,v20,0.00716119443318
88,v15,0.00722875287123
89,v58,0.00722875287123
90,v4,0.00722875287123
91,v126,0.00729631130928
92,v80,0.00743142818538
93,v69,0.00756654506148
94,v1,0.00756654506148
95,v42,0.00763410349953
96,v53,0.00770166193758
97,v57,0.00790433725172
98,v122,0.00803945412782
99,v118,0.00810701256587
100,v45,0.00810701256587
101,v68,0.00824212944197
102,v30,0.00830968788002
103,v47,0.00851236319416
104,v35,0.00851236319416
105,v9,0.00857992163221
106,v107,0.00885015538441
107,v88,0.00905283069855
108,v85,0.00905283069855
109,v6,0.00918794757465
110,v127,0.0093906228888
111,v120,0.00972841507904
112,v90,0.00979597351709
113,v91,0.00999864883124
114,v79,0.0102688825834
115,v99,0.0107417916498
116,v112,0.011012025402
117,v113,0.0120929604108
118,v24,0.0132414538576
119,v125,0.015200648561
120,v10,0.0154708823132
121,v66,0.0168220510742
122,v52,0.0173625185786
123,v14,0.0185110120254
124,v56,0.0189839210917
125,v22,0.0214160248615
126,v40,0.0231725442508
127,v114,0.0233752195649
128,v34,0.0238481286313
129,v12,0.0247263883259
130,v21,0.0282394271044
131,v50,0.0403323875152
