,feature,fscore
0,v3,0.000214137129339
1,v74,0.000387486234042
2,v110,0.000560835338745
3,v75,0.000876942529673
4,v38,0.000989109597422
5,na_count,0.00102989762206
6,v31,0.00114206468981
7,v64,0.00151935391769
8,v76,0.00178447607782
9,v23,0.0018150670963
10,v129,0.00234531141657
11,v106,0.00236570542889
12,v48,0.00273279765061
13,v105,0.00285516172452
14,v17,0.00307949586002
15,v128,0.00309988987233
16,v63,0.00327323897704
17,v96,0.00335481502631
18,v95,0.00341599706326
19,v121,0.0036301341926
20,v29,0.00364033119876
21,v83,0.00366072521108
22,v46,0.0036811192234
23,v41,0.00374230126035
24,v72,0.00393604437737
25,v25,0.00399722641432
26,v92,0.00404821144512
27,v67,0.00405840845128
28,v8,0.00406860545744
29,v93,0.00411959048823
30,v81,0.00413998450055
31,v54,0.00418077252519
32,v77,0.0042521515683
33,v33,0.00430313659909
34,v43,0.00438471264837
35,v65,0.004425500673
36,v89,0.00451727372843
37,v62,0.00456825875923
38,v115,0.00460904678386
39,v71,0.00460904678386
40,v116,0.00462944079618
41,v130,0.0047008198393
42,v84,0.00472121385161
43,v108,0.00472121385161
44,v60,0.00476200187625
45,v117,0.00477219888241
46,v100,0.00479259289473
47,v26,0.00479259289473
48,v61,0.00485377493168
49,v73,0.00497613900559
50,v124,0.00499653301791
51,v13,0.00502712403638
52,v49,0.00510870008565
53,v32,0.00515968511645
54,v109,0.00520047314109
55,v47,0.00521067014724
56,v101,0.00534323122731
57,v51,0.00536362523963
58,v5,0.00536362523963
59,v104,0.00537382224579
60,v55,0.00543500428274
61,v118,0.00545539829506
62,v94,0.00555736835665
63,v7,0.00556756536281
64,v123,0.00558795937513
65,v111,0.00562874739976
66,v87,0.00573071746135
67,v86,0.00574091446751
68,v58,0.00574091446751
69,v59,0.00575111147367
70,v19,0.00577150548599
71,v15,0.00577150548599
72,v36,0.0058428845291
73,v70,0.00590406656606
74,v27,0.00601623363381
75,v53,0.00603662764612
76,v4,0.00613859770771
77,v11,0.00625076477546
78,v20,0.00625076477546
79,v37,0.00633234082473
80,v98,0.00644450789248
81,v97,0.00645470489864
82,v103,0.0064649019048
83,v80,0.00647509891096
84,v122,0.00650568992944
85,v131,0.00653628094791
86,v18,0.00662805400334
87,v127,0.0066382510095
88,v35,0.0066382510095
89,v119,0.00666884202798
90,v66,0.00670963005262
91,v42,0.00676061508341
92,v44,0.00677081208957
93,v90,0.00690337316964
94,v68,0.00692376718196
95,v39,0.00698494921891
96,v1,0.00701554023739
97,v2,0.00717869233593
98,v45,0.00718888934209
99,v9,0.00720928335441
100,v102,0.00722967736673
101,v85,0.00744381449606
102,v79,0.00756617856997
103,v28,0.00769873965004
104,v57,0.00772933066852
105,v69,0.00780070971163
106,v16,0.00785169474242
107,v82,0.00798425582249
108,v126,0.00800464983481
109,v120,0.00839213606885
110,v88,0.0084533181058
111,v99,0.00846351511196
112,v30,0.00864706122282
113,v78,0.00881021332137
114,v24,0.0103193702329
115,v6,0.0106252804177
116,v107,0.0112778888118
117,v113,0.0130725618958
118,v10,0.0149794020476
119,v91,0.0158053595464
120,v56,0.018660521271
121,v112,0.0199759350655
122,v114,0.0229738548762
123,v125,0.0241669045968
124,v14,0.0246563608924
125,v52,0.0271342333891
126,v40,0.027705265734
127,v34,0.0281233429865
128,v12,0.0335379532569
129,v22,0.0337418933801
130,v21,0.034374107762
131,v50,0.0418994983073
