,feature,fscore
0,na_count,0.000755829333736
1,v3,0.0011337440006
2,v75,0.00122822266732
3,v23,0.00164392880088
4,v76,0.00262650693473
5,v64,0.00264540266808
6,v74,0.00290994293489
7,v106,0.00294773440157
8,v71,0.00328785760175
9,v17,0.00347681493519
10,v105,0.00368466800197
11,v46,0.00376025093534
12,v8,0.00379804240203
13,v63,0.00385472960206
14,v62,0.0038736253354
15,v95,0.0038736253354
16,v81,0.00393031253543
17,v48,0.00394920826877
18,v25,0.00394920826877
19,v121,0.00415706133555
20,v41,0.00417595706889
21,v101,0.00432712293564
22,v38,0.00440270586901
23,v83,0.00445939306905
24,v96,0.00445939306905
25,v128,0.00449718453573
26,v109,0.00453497600242
27,v92,0.00455387173576
28,v129,0.00459166320245
29,v31,0.00462945466914
30,v117,0.00464835040248
31,v43,0.00470503760251
32,v54,0.00478062053588
33,v89,0.00481841200257
34,v60,0.00493178640263
35,v108,0.00493178640263
36,v77,0.00498847360266
37,v61,0.005007369336
38,v13,0.00502626506935
39,v73,0.00508295226938
40,v93,0.00513963946941
41,v49,0.00513963946941
42,v65,0.00515853520275
43,v29,0.00515853520275
44,v27,0.00521522240278
45,v130,0.00525301386947
46,v84,0.00527190960281
47,v124,0.00529080533616
48,v94,0.00532859680284
49,v5,0.00532859680284
50,v67,0.00534749253619
51,v107,0.00534749253619
52,v7,0.00536638826953
53,v104,0.00538528400287
54,v72,0.00538528400287
55,v32,0.00538528400287
56,v111,0.00542307546956
57,v116,0.00546086693625
58,v115,0.00549865840293
59,v26,0.00563092853634
60,v19,0.00568761573637
61,v33,0.00570651146971
62,v110,0.00589546880314
63,v58,0.00591436453649
64,v4,0.00597105173652
65,v123,0.0060088432032
66,v59,0.00602773893655
67,v98,0.00604663466989
68,v91,0.00608442613658
69,v86,0.00610332186992
70,v44,0.00614111333661
71,v131,0.00616000906995
72,v87,0.0061789048033
73,v36,0.00621669626998
74,v55,0.0063111749367
75,v103,0.00636786213673
76,v100,0.00642454933676
77,v11,0.0064434450701
78,v39,0.00650013227013
79,v70,0.00651902800348
80,v80,0.00653792373682
81,v37,0.00657571520351
82,v15,0.00659461093685
83,v51,0.00663240240354
84,v1,0.00676467253694
85,v97,0.00699142133706
86,v30,0.00701031707041
87,v16,0.00702921280375
88,v90,0.00702921280375
89,v122,0.00704810853709
90,v118,0.00706700427044
91,v82,0.00708590000378
92,v28,0.00714258720381
93,v35,0.00721817013718
94,v2,0.00727485733721
95,v119,0.00740712747062
96,v126,0.00752050187068
97,v18,0.00757718907071
98,v53,0.00757718907071
99,v78,0.00759608480405
100,v9,0.00759608480405
101,v68,0.00763387627074
102,v20,0.00772835493746
103,v45,0.00791731227089
104,v85,0.00808737387098
105,v42,0.0081818525377
106,v99,0.00859755867125
107,v102,0.00876762027134
108,v69,0.00891878613809
109,v120,0.00912663920487
110,v127,0.00933449227165
111,v57,0.00963682400514
112,v112,0.010014738672
113,v6,0.0100903216054
114,v47,0.0101659045388
115,v88,0.0102225917388
116,v125,0.0109028381391
117,v52,0.0111106912059
118,v79,0.0130569517403
119,v113,0.0149843165413
120,v22,0.015683458675
121,v14,0.0164959752088
122,v10,0.0177241978761
123,v24,0.0185367144099
124,v56,0.0205207664109
125,v21,0.0220702165451
126,v34,0.0223347568119
127,v114,0.0223536525453
128,v40,0.0246022448131
129,v66,0.0253013869468
130,v12,0.0258304674804
131,v50,0.0505271909603
