,feature,fscore
0,v3,0.000342767603565
1,v75,0.000359089870401
2,v110,0.000505990271929
3,v74,0.00054679593902
4,na_count,0.00103646394411
5,v38,0.00128129794666
6,v31,0.00131394248033
7,v64,0.00161590441681
8,v23,0.00177096595175
9,v76,0.00193418862012
10,v106,0.00240753435837
11,v129,0.0027339796951
12,v48,0.00277478536219
13,v128,0.00292168576372
14,v63,0.00311755296576
15,v105,0.00317468089968
16,v17,0.00325629223387
17,v96,0.00328077563412
18,v46,0.00359089870401
19,v121,0.00377860477263
20,v25,0.00382757157314
21,v29,0.00389286064049
22,v95,0.00394998857441
23,v81,0.00395814970783
24,v41,0.00402343877518
25,v8,0.00402343877518
26,v67,0.00417850031012
27,v83,0.00426827277772
28,v72,0.00430907844481
29,v89,0.00434172297849
30,v54,0.00436620637874
31,v43,0.00441517317925
32,v130,0.00443149544609
33,v60,0.00444781771292
34,v100,0.00444781771292
35,v71,0.00445597884634
36,v115,0.00447230111318
37,v33,0.00455391244736
38,v62,0.00458655698103
39,v92,0.00460287924787
40,v117,0.00462736264812
41,v109,0.00464368491496
42,v93,0.00471713511572
43,v47,0.00476610191623
44,v65,0.00479874644991
45,v73,0.00482322985016
46,v116,0.00493748571802
47,v49,0.00498645251853
48,v77,0.00499461365194
49,v32,0.00506806385271
50,v26,0.00515783632031
51,v84,0.00523944765449
52,v108,0.00527209218816
53,v123,0.00538634805602
54,v61,0.00540267032285
55,v124,0.00550060392387
56,v101,0.00563934319198
57,v58,0.0056475043254
58,v15,0.00565566545882
59,v86,0.00568014885907
60,v87,0.00572911565958
61,v104,0.00572911565958
62,v51,0.005737276793
63,v111,0.00577808246009
64,v55,0.0058270492606
65,v37,0.00590866059478
66,v94,0.00594130512846
67,v7,0.00596578852871
68,v5,0.00597394966213
69,v59,0.00598211079555
70,v13,0.00603107759606
71,v53,0.00607188326315
72,v118,0.00608820552998
73,v4,0.00611268893024
74,v27,0.00639016746646
75,v44,0.00642281200013
76,v98,0.00647177880064
77,v19,0.00655339013482
78,v11,0.00661051806875
79,v97,0.00666764600268
80,v36,0.00666764600268
81,v20,0.00682270753762
82,v70,0.00692880227206
83,v80,0.00699409133941
84,v103,0.00701857473966
85,v119,0.00705938040675
86,v122,0.00708386380701
87,v39,0.00713283060751
88,v127,0.0072144419417
89,v131,0.00726340874221
90,v18,0.00728789214246
91,v35,0.00728789214246
92,v28,0.00735318120981
93,v1,0.00740214801032
94,v2,0.00750824274475
95,v85,0.00754088727843
96,v42,0.00754904841184
97,v102,0.00763882087944
98,v82,0.00765514314628
99,v45,0.00767962654653
100,v90,0.00776939901414
101,v126,0.00782652694806
102,v69,0.00783468808148
103,v9,0.00794894394934
104,v68,0.00812032775112
105,v16,0.00813665001795
106,v79,0.00814481115137
107,v78,0.00840596742076
108,v66,0.00863447915647
109,v57,0.00871609049065
110,v88,0.0087405738909
111,v30,0.00874873502432
112,v120,0.00943427023145
113,v99,0.00974439330134
114,v107,0.0100626775047
115,v6,0.0105197009761
116,v24,0.0107808572455
117,v113,0.0126089511311
118,v10,0.0135148369406
119,v91,0.0140126660791
120,v112,0.0178810433193
121,v56,0.018713478928
122,v114,0.0205497339471
123,v14,0.0228103679039
124,v125,0.0233898083766
125,v52,0.024393627787
126,v40,0.0245650115888
127,v34,0.0272500244834
128,v12,0.0298697483106
129,v22,0.0303512551823
130,v21,0.031534619528
131,v50,0.0416625861
