,feature,fscore
0,v3_pct,2.23572600731e-05
1,v110_pct,3.57716161169e-05
2,v75_pct,8.27218622703e-05
3,v74_pct,0.000102843396336
4,v3,0.000145322190475
5,v31_pct,0.000223572600731
6,v74,0.000266051394869
7,v110,0.000444909475454
8,v107_pct,0.000634946186075
9,v75,0.000811568540652
10,v31,0.000869697416842
11,v38,0.000869697416842
12,v71_pct,0.0010083124293
13,na_count,0.00106420557948
14,v66_pct,0.00128107100219
15,v24_pct,0.00168573740951
16,v64,0.00170138749156
17,v47_pct,0.00176398781976
18,v129,0.0018042308879
19,v23,0.0018064666139
20,v76,0.00189142420218
21,v91_pct,0.00226702617141
22,v79_pct,0.00233409795163
23,v106,0.00233409795163
24,v105,0.00270075701683
25,v96,0.00277006452305
26,v128,0.00288632227543
27,v48,0.00294221542562
28,v63,0.00297351558972
29,v17,0.00323509553257
30,v47,0.00324180271059
31,v46,0.00329993158678
32,v121,0.00338936062708
33,v72,0.00348102539338
34,v95,0.00355704007762
35,v130,0.00374484106224
36,v29,0.0037649625963
37,v62,0.00380520566444
38,v67,0.00386109881462
39,v25,0.00389463470473
40,v33,0.00390357760876
41,v83,0.00392817059484
42,v41,0.00392817059484
43,v8,0.00397288511498
44,v65,0.00401089245711
45,v81,0.00403548544319
46,v71,0.00405337125125
47,v73,0.00410479294941
48,v100,0.00414056456553
49,v43,0.00415621464758
50,v77,0.00422999360582
51,v60,0.00424117223586
52,v93,0.0042523508659
53,v92,0.00427694385198
54,v54,0.00431942264612
55,v89,0.0044982807267
56,v109,0.00454075952084
57,v84,0.00462571710912
58,v116,0.00463913146516
59,v117,0.00465478154721
60,v49,0.00469949606736
61,v32,0.0047732750256
62,v61,0.00479563228567
63,v101,0.00482022527175
64,v123,0.00485376116186
65,v51,0.00494095447615
66,v13,0.00495436883219
67,v115,0.00496107601021
68,v108,0.00503932642047
69,v55,0.00509298384464
70,v79,0.00510192674867
71,v87,0.00516452707688
72,v104,0.00519806296699
73,v26,0.00521818450105
74,v59,0.00522265595307
75,v4,0.00525619184318
76,v118,0.00528525628127
77,v86,0.0054171641157
78,v111,0.00542387129373
79,v66,0.00543281419775
80,v5,0.00545740718383
81,v15,0.00553118614208
82,v53,0.00554683622413
83,v94,0.00554907195013
84,v97,0.00556248630618
85,v30_pct,0.0056004936483
86,v27,0.00566980115453
87,v7,0.00568097978457
88,v58,0.00574134438676
89,v124,0.00576146592083
90,v44,0.00582406624903
91,v36,0.00586654504317
92,v19,0.00586878076918
93,v11,0.00591349528933
94,v37,0.00599174569958
95,v70,0.00604093167174
96,v20,0.00604987457577
97,v2,0.00611023917797
98,v119,0.00613036071203
99,v98,0.0062130825743
100,v103,0.00622426120434
101,v127,0.00623320410837
102,v30,0.0062421470124
103,v35,0.00628462580654
104,v42,0.0063025116146
105,v18,0.00645006953108
106,v80,0.00647689824317
107,v1,0.0066088060776
108,v122,0.0066401062417
109,v85,0.00665575632375
110,v28,0.00678319270617
111,v39,0.00688827182851
112,v90,0.00691286481459
113,v131,0.00693075062265
114,v102,0.00698440804683
115,v82,0.00712749451129
116,v45,0.00714090886734
117,v88,0.00722363072961
118,v126,0.00723257363364
119,v16,0.00729517396184
120,v9,0.00731082404389
121,v68,0.00733318130396
122,v57,0.0074963893025
123,v78,0.00765512584902
124,v69,0.00775126206733
125,v24,0.00807320661238
126,v120,0.00840856551348
127,v99,0.00845775148564
128,v113,0.0091508265479
129,v6,0.00932968462849
130,v107,0.00983048725413
131,v112_pct,0.0110646080102
132,v22_pct,0.011639189594
133,v56,0.0122115354519
134,v10,0.0127033951735
135,v113_pct,0.0129314392263
136,v91,0.0130096896365
137,v52_pct,0.0136222785625
138,v56_pct,0.0158065828717
139,v125_pct,0.0170339964497
140,v112,0.0171994401742
141,v52,0.0199739761493
142,v114,0.020515021843
143,v125,0.0210024101126
144,v14,0.0221225088423
145,v40,0.024174905317
146,v34,0.0256214200437
147,v12,0.0285725783734
148,v21,0.0291695172173
149,v22,0.0299453141419
150,v50,0.0349712262063
